epoch,phase,train_loss,val_loss,train_acc,val_acc,lr
1,warmup,4.308847410250933,3.967981185668554,0.03365384615384615,0.15384615384615385,0.001
2,warmup,4.068717831831712,3.74394410940317,0.08493589743589744,0.19230769230769232,0.001
3,warmup,3.9164721709031327,3.594863046743931,0.12371794871794872,0.19230769230769232,0.001
4,warmup,3.8261839683239276,3.480995386074751,0.14743589743589744,0.24487179487179486,0.001
5,warmup,3.7601247481810742,3.4028458998753472,0.1596153846153846,0.258974358974359,0.001
6,finetune,3.265007286805373,2.5983221628727056,0.29967948717948717,0.48333333333333334,9.972883382072954e-05
7,finetune,2.5834773295964952,2.0782988963983,0.49391025641025643,0.6384615384615384,9.891830623632339e-05
8,finetune,2.1571399847666424,1.7797316807966965,0.6317307692307692,0.7423076923076923,9.757729755661011e-05
9,finetune,1.8224021471463716,1.5504811794329911,0.7423076923076923,0.8307692307692308,9.572050015330873e-05
10,finetune,1.577960088925484,1.4344453970591227,0.8262820512820512,0.8512820512820513,9.336825748732972e-05
11,finetune,1.4301626621148524,1.350640785999787,0.8657051282051282,0.8743589743589744,9.05463412215599e-05
12,finetune,1.3333680910941883,1.2842487371884859,0.8916666666666667,0.8987179487179487,8.728566886113101e-05
13,finetune,1.2496777192140236,1.23743115571829,0.9192307692307692,0.9,8.362196501476347e-05
14,finetune,1.1849914220663218,1.1945815025231776,0.9381410256410256,0.9166666666666666,7.959536998847741e-05
15,finetune,1.1411436080932618,1.1651032946048638,0.9451923076923077,0.9256410256410257,7.524999999999999e-05
16,finetune,1.099492477759337,1.142106687105619,0.9583333333333334,0.9320512820512821,7.06334638322521e-05
17,finetune,1.074360134662726,1.1248024457540267,0.9599358974358975,0.9320512820512821,6.579634122155988e-05
18,finetune,1.0596697795085417,1.111963089918479,0.9650641025641026,0.9397435897435897,6.079162869547907e-05
19,finetune,1.0290924451290033,1.100439305183215,0.9733974358974359,0.9371794871794872,5.567415893174884e-05
20,finetune,1.0107559014589358,1.0851680975693923,0.9766025641025641,0.9384615384615385,5.05e-05
21,finetune,1.0061829475256112,1.0719936138544328,0.9772435897435897,0.9435897435897436,4.532584106825115e-05
22,finetune,1.001848913767399,1.0655669909257155,0.9756410256410256,0.9435897435897436,4.0208371304520894e-05
23,finetune,0.9887860408196083,1.0546749958625206,0.9814102564102564,0.9448717948717948,3.520365877844009e-05
24,finetune,0.98325599584824,1.0506373142584777,0.9830128205128205,0.9487179487179487,3.0366536167747885e-05
25,finetune,0.9811708242465288,1.0528508394192426,0.9766025641025641,0.9461538461538461,2.5750000000000006e-05
26,finetune,0.9550976912180583,1.0410629006532521,0.9862179487179488,0.9474358974358974,2.1404630011522583e-05
27,finetune,0.9582389006247887,1.0390965250822215,0.9849358974358975,0.9525641025641025,1.7378034985236532e-05
28,finetune,0.9528349048052078,1.033265110468253,0.9875,0.9525641025641025,1.371433113886899e-05
29,finetune,0.951562080016503,1.029238837498885,0.9855769230769231,0.9512820512820512,1.0453658778440107e-05
30,finetune,0.9448373091526521,1.0291716285240955,0.9881410256410257,0.95,7.631742512670284e-06
31,finetune,0.9519913835403246,1.0240542751092176,0.9862179487179488,0.9538461538461539,5.279499846691251e-06
32,finetune,0.9445832020197159,1.024375151976561,0.9878205128205129,0.9538461538461539,3.4227024433899e-06
33,finetune,0.949314940892733,1.0296025734681349,0.9836538461538461,0.9474358974358974,2.0816937636766186e-06
34,finetune,0.9412472584308722,1.0306994358698527,0.9887820512820513,0.9525641025641025,1.2711661792704665e-06
35,finetune,0.9452805818655552,1.028636253797091,0.9871794871794872,0.95,1e-06
